Date,Desc,Event,Location,Time
2022-12-27,,Feldheym Conversation Class,"555 West 6th Street, San Bernardino, CA 92410",2:30 PM
2022-12-27,,Inghram Homework Help,"1505 W Highland Ave, San Bernardino, CA 92411",4:00 PM
2022-12-27,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2022-12-27,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-12-27,Create something cute every week with Ms. Kat. ,Feldheym Arts and Crafts,"555 West 6th Street, San Bernardino, CA 92410",5:00 PM
2022-12-28,,Villaseñor Pre-K Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",11:30 AM
2022-12-28,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-12-28,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-12-29,,Feldheym Computer Class,"555 West 6th Street, San Bernardino, CA 92410",10:00 AM
2022-12-29,,Feldheym Story Time,"555 West 6th Street, San Bernardino, CA 92410",10:30 AM
2022-12-29,,Rowe Pre-K Story Time,"108 E. Marshall Blvd.San Bernardino, CA 92404",10:30 AM
2022-12-29,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-12-29,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-12-29,,Villaseñor Family Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-12-31,,Inghram Pre-K Story Time,"1505 W. Highland Ave. San Bernardino, CA 92411",11:00 AM
2022-12-31,Come watch a family-friendly film at the library. ,Feldheym Movie,"555 W Sixth St, San Bernardino, CA 92410, United States",11:00 AM
2022-12-31,Enjoy a family-friendly movie at the library.,Villaseñor Movies at the Library,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",12:00 PM
2023-01-02,,Citizenship Class Feldheym,"555 W Sixth St, San Bernardino, CA 92410, United States",1:00 PM
2023-01-02,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2023-01-02,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2023-01-02,,Villaseñor Bingo,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",6:00 PM
2023-01-03,,Feldheym Conversation Class,"555 West 6th Street, San Bernardino, CA 92410",2:30 PM
2023-01-03,,Inghram Homework Help,"1505 W Highland Ave, San Bernardino, CA 92411",4:00 PM
2023-01-03,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2023-01-03,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2023-01-04,,Villaseñor Pre-K Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",11:30 AM
2023-01-04,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2023-01-04,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
